epoch: 0 batch_idx:192501, train_loss: 1.0624927947892873
epoch: 0 batch_idx:193001, train_loss: 1.0622433285698414
epoch: 0 batch_idx:193501, train_loss: 1.0620729928250583
epoch: 0 batch_idx:194001, train_loss: 1.0620052166750051
epoch: 0 batch_idx:194501, train_loss: 1.0618984842969375
epoch: 0 batch_idx:195001, train_loss: 1.061639615804027
epoch: 0 batch_idx:195501, train_loss: 1.0615353912569532
epoch: 0 batch_idx:196001, train_loss: 1.061303902261629
epoch: 0 batch_idx:196501, train_loss: 1.0611765838503775
epoch: 0 batch_idx:197001, train_loss: 1.0609094989474765
epoch: 0 batch_idx:197501, train_loss: 1.0607767806941517
epoch: 0 batch_idx:198001, train_loss: 1.0605872687344442
epoch: 0 batch_idx:198501, train_loss: 1.06044916708282
epoch: 0 batch_idx:199001, train_loss: 1.0602309978511788
epoch: 0 batch_idx:199501, train_loss: 1.0601295036566483
epoch: 0 batch_idx:200001, train_loss: 1.0601374988829386
epoch: 0 batch_idx:200501, train_loss: 1.0600532731828902
epoch: 0 batch_idx:201001, train_loss: 1.0598320207098122
epoch: 0 batch_idx:201501, train_loss: 1.0597541278521034
epoch: 0 batch_idx:202001, train_loss: 1.0596761158548411
epoch: 0 batch_idx:202501, train_loss: 1.059420117077445
epoch: 0 batch_idx:203001, train_loss: 1.0591826076922821
epoch: 0 batch_idx:203501, train_loss: 1.0589631344515649
epoch: 0 batch_idx:204001, train_loss: 1.0587862732002504
epoch: 0 batch_idx:204501, train_loss: 1.058583364370645
epoch: 0 batch_idx:205001, train_loss: 1.0583697947981003
epoch: 0 batch_idx:205501, train_loss: 1.0581807501168028
epoch: 0 batch_idx:206001, train_loss: 1.0579400084283526
epoch: 0 batch_idx:206501, train_loss: 1.0577999330303676
epoch: 0 batch_idx:207001, train_loss: 1.0576144613771665
epoch: 0 batch_idx:207501, train_loss: 1.057495589313446
epoch: 0 batch_idx:208001, train_loss: 1.0574066622105387
epoch: 0 batch_idx:208501, train_loss: 1.0575934746745046
epoch: 0 batch_idx:209001, train_loss: 1.0577334933408786
epoch: 0 batch_idx:209501, train_loss: 1.0576976712357584
epoch: 0 batch_idx:210001, train_loss: 1.0576506248892046
epoch: 0 batch_idx:210501, train_loss: 1.0575612191620296
epoch: 0 batch_idx:211001, train_loss: 1.0573553359460341
epoch: 0 batch_idx:211501, train_loss: 1.0571657401474126
epoch: 0 batch_idx:212001, train_loss: 1.0570215791630577
epoch: 0 batch_idx:212501, train_loss: 1.056916813857308
epoch: 0 batch_idx:213001, train_loss: 1.0567367687397997
epoch: 0 batch_idx:213501, train_loss: 1.0566330995753723
epoch: 0 batch_idx:214001, train_loss: 1.0564745363896162
epoch: 0 batch_idx:214501, train_loss: 1.0562948883544154
epoch: 0 batch_idx:215001, train_loss: 1.056132306370593
